+   plus sign
⦬   measured angle with open arm ending in arrow pointing right and up
⦭   measured angle with open arm ending in arrow pointing left and up
⦮   measured angle with open arm ending in arrow pointing right and down
⦯   measured angle with open arm ending in arrow pointing left and down
⦰   reversed empty set
⦱   empty set with overbar
⦲   empty set with small circle above
⦳   empty set with right arrow above
⦴   empty set with left arrow above
⦵   circle with horizontal bar
⦶   circled vertical bar
⦷   circled parallel
⦸   circled reverse solidus
⦹   circled perpendicular
⦺   circle divided by horizontal bar and top half divided by vertical bar
⦻   circle with superimposed x
⦼   circled anticlockwise-rotated division sign
⦽   up arrow through circle
⦾   circled white bullet
⦿   circled bullet
⧀   circled less-than
⧁   circled greater-than
⧂   circle with small circle to the right
⧃   circle with two horizontal strokes to the right
⧄   squared rising diagonal slash
⧅   squared falling diagonal slash
⧆   squared asterisk
⧇   squared small circle
⧈   squared square
⧉   two joined squares
⧊   triangle with dot above
⧋   triangle with underbar
⧌   s in triangle
⧍   triangle with serifs at bottom
⧎   right triangle above left triangle
⧏   left triangle beside vertical bar
⧐   vertical bar beside right triangle
⧑   bowtie with left half black
⧒   bowtie with right half black
⧓   black bowtie
⧔   times with left half black
⧕   times with right half black
⧖   white hourglass
⧗   black hourglass
⧜   incomplete infinity
⧝   tie over infinity
⧞   infinity negated with vertical bar
⧟   double-ended multimap
⧠   square with contoured outline
⧡   increases as
⧢   shuffle product
⧣   equals sign and slanted parallel
⧤   equals sign and slanted parallel with tilde above
⧥   identical to and slanted parallel
⧦   gleich stark
⧧   thermodynamic
⧨   down-pointing triangle with left half black
⧩   down-pointing triangle with right half black
⧪   black diamond with down arrow
⧫   black lozenge
⧬   white circle with down arrow
⧭   black circle with down arrow
⧮   error-barred white square
⧯   error-barred black square
⧰   error-barred white diamond
⧱   error-barred black diamond
⧲   error-barred white circle
⧳   error-barred black circle
⧴   rule-delayed
⧵   reverse solidus operator
⧶   solidus with overbar
⧷   reverse solidus with horizontal stroke
⧸   big solidus
⧹   big reverse solidus
⧺   double plus
⧻   triple plus
⧾   tiny
⧿   miny
e   n-ary circled dot operator 	⨀ 	pr
e   n-ary circled plus operator 	⨁ 	pr
e   n-ary circled times operator 	⨂ 	pr
⨃   n-ary union operator with dot
⨄   n-ary union operator with plus
⨅   n-ary square intersection operator
⨆   n-ary square union operator
⨇   two logical and operator
⨈   two logical or operator
⨉   n-ary times operator
e   modulo two sum 	⨊ 	pr
e   summation with integral 	⨋ 	pr
e   quadruple integral operator 	⨌ 	pr
e   finite part integral 	⨍ 	pr
e   integral with double stroke 	⨎ 	pr
e   integral average with slash 	⨏ 	pr
e   circulation function 	⨐ 	pr
e   anticlockwise integration 	⨑ 	pr
e   line integration with rectangular path around pole 	⨒ 	pr
⨓   line integration with semicircular path around pole
⨔   line integration not including the pole
⨕   integral around a point operator
⨖   quaternion integral operator
⨗   integral with leftwards arrow with hook
⨘   integral with times sign
⨙   integral with intersection
⨚   integral with union
⨛   integral with overbar
⨜   integral with underbar
⨝   join
⨞   large left triangle operator
⨟   z notation schema composition
⨠   z notation schema piping
⨡   z notation schema projection
⨢   plus sign with small circle above
⨣   plus sign with circumflex accent above
⨤   plus sign with tilde above
⨥   plus sign with dot below
⨦   plus sign with tilde below
⨧   plus sign with subscript two
⨨   plus sign with black triangle
⨩   minus sign with comma above
⨪   minus sign with dot below
⨫   minus sign with falling dots
⨬   minus sign with rising dots
⨭   plus sign in left half circle
⨮   plus sign in right half circle
⨯   vector or cross product
⨰   multiplication sign with dot above
⨱   multiplication sign with underbar
⨲   semidirect product with bottom closed
⨳   smash product
⨴   multiplication sign in left half circle
⨵   multiplication sign in right half circle
⨶   circled multiplication sign with circumflex accent
⨷   multiplication sign in double circle
⨸   circled division sign
⨹   plus sign in triangle
⨺   minus sign in triangle
⨻   multiplication sign in triangle
⨼   interior product
⨽   righthand interior product
⨾   z notation relational composition
⨿   amalgamation or coproduct
⩀   intersection with dot
⩁   union with minus sign
⩂   union with overbar
⩃   intersection with overbar
⩄   intersection with logical and
⩅   union with logical or
⩆   union above intersection
⩇   intersection above union
⩈   union above bar above intersection
⩉   intersection above bar above union
⩊   union beside and joined with union
⩋   intersection beside and joined with intersection
⩌   closed union with serifs
⩍   closed intersection with serifs
⩎   double square intersection
⩏   double square union
⩐   closed union with serifs and smash product
⩑   logical and with dot above
⩒   logical or with dot above
⩓   double logical and
⩔   double logical or
⩕   two intersecting logical and
⩖   two intersecting logical or
⩗   sloping large or
⩘   sloping large and
⩙   logical or overlapping logical and
⩚   logical and with middle stem
⩛   logical or with middle stem
⩜   logical and with horizontal dash
⩝   logical or with horizontal dash
⩞   logical and with double overbar
⩟   logical and with underbar
⩠   logical and with double underbar
⩡   small vee with underbar
⩢   logical or with double overbar
⩣   logical or with double underbar
⩤   z notation domain antirestriction
⩥   z notation range antirestriction
⩦   equals sign with dot below
⩧   identical with dot above
⩨   triple horizontal bar with double vertical stroke
⩩   triple horizontal bar with triple vertical stroke
⩪   tilde operator with dot above
⩫   tilde operator with rising dots
⩬   similar minus similar
⩭   congruent with dot above
⩮   equals with asterisk
⩯   almost equal to with circumflex accent
⩰   approximately equal or equal to
⩱   equals sign above plus sign
⩲   plus sign above equals sign
⩳   equals sign above tilde operator
⩴   double colon equal
⩵   two consecutive equals signs
⩶   three consecutive equals signs
⩷   equals sign with two dots above and two dots below
⩸   equivalent with four dots above
⩹   less-than with circle inside
⩺   greater-than with circle inside
⩻   less-than with question mark above
⩼   greater-than with question mark above
⩽   less-than or slanted equal to
⩾   greater-than or slanted equal to
⩿   less-than or slanted equal to with dot inside
⪀   greater-than or slanted equal to with dot inside
⪁   less-than or slanted equal to with dot above
⪂   greater-than or slanted equal to with dot above
⪃   less-than or slanted equal to with dot above right
⪄   greater-than or slanted equal to with dot above left
⪅   less-than or approximate
⪆   greater-than or approximate
⪇   less-than and single-line not equal to
⪈   greater-than and single-line not equal to
⪉   less-than and not approximate
⪊   greater-than and not approximate
⪋   less-than above double-line equal above greater-than
⪌   greater-than above double-line equal above less-than
⪍   less-than above similar or equal
⪎   greater-than above similar or equal
⪏   less-than above similar above greater-than
⪐   greater-than above similar above less-than
⪑   less-than above greater-than above double-line equal
⪒   greater-than above less-than above double-line equal
⪓   less-than above slanted equal above greater-than above slanted equal
⪔   greater-than above slanted equal above less-than above slanted equal
⪕   slanted equal to or less-than
⪖   slanted equal to or greater-than
⪗   slanted equal to or less-than with dot inside
⪘   slanted equal to or greater-than with dot inside
⪙   double-line equal to or less-than
⪚   double-line equal to or greater-than
⪛   double-line slanted equal to or less-than
⪜   double-line slanted equal to or greater-than
⪝   similar or less-than
⪞   similar or greater-than
⪟   similar above less-than above equals sign
⪠   similar above greater-than above equals sign
⪡   double nested less-than
⪢   double nested greater-than
⪣   double nested less-than with underbar
⪤   greater-than overlapping less-than
⪥   greater-than beside less-than
⪦   less-than closed by curve
⪧   greater-than closed by curve
⪨   less-than closed by curve above slanted equal
⪩   greater-than closed by curve above slanted equal
⪪   smaller than
⪫   larger than
⪬   smaller than or equal to
